Country Name,Country Code,Indicator Name,Total Emissions2009-2018,
Argentina,ARG,Emisiones de metano(kt de equivalente de CO2),1140950.0,
Bolivia,BOL,Emisiones de metano(kt de equivalente de CO2),236140.0,
Brasil,BRA,Emisiones de metano(kt de equivalente de CO2),4150920.0,
Chile,CHL,Emisiones de metano(kt de equivalente de CO2),134150.0,
Colombia,COL,Emisiones de metano(kt de equivalente de CO2),723450.0,
Ecuador,ECU,Emisiones de metano(kt de equivalente de CO2),209790.0,
Perú,PER,Emisiones de metano(kt de equivalente de CO2),302330.0,
Paraguay,PRY,Emisiones de metano(kt de equivalente de CO2),282300.0,
Uruguay,URY,Emisiones de metano(kt de equivalente de CO2),215100.0,
Venezuela,VEN,Emisiones de metano(kt de equivalente de CO2),732180.0,
